timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-10-13 03:16:00,SIO,https://audiomack.com/vibeking-sio,135000,4260000,101000,"Oct 30, 2020",6
2025-10-13 03:16:44,Nahj,https://audiomack.com/nahj,22100,3630000,1180000,"Dec 27, 2019",7
2025-10-13 03:17:30,Spize,https://audiomack.com/spizeofficial,62200,2300000,56500,"Oct 20, 2021",4
2025-10-13 03:18:07,Will Flash,https://audiomack.com/will-flash,58400,3520000,83600,"Dec 1, 2023",9
2025-10-13 03:19:05,STUNN,https://audiomack.com/stunn,60100,2730000,29300,"Nov 25, 2019",29
2025-10-13 03:21:04,Larry G,https://audiomack.com/elvissaywon226,32100,933000,80200,"Oct 17, 2020",3
2025-10-13 03:21:38,Fluxii,https://audiomack.com/fluxiimusic,54400,2330000,93300,"Aug 10, 2023",10
2025-10-13 03:22:38,Teddyride,https://audiomack.com/teddyride,121000,5920000,50900,"Oct 21, 2019",29
2025-10-13 03:24:39,Jaredo,https://audiomack.com/Jaredo,57500,2069999,84000,"Aug 27, 2021",12
2025-10-13 03:25:55,King Dennis,https://audiomack.com/troublecoming,159000,8250000,103000,"Jul 2, 2020",49
2025-10-13 03:29:06,JZyNo,https://audiomack.com/jzyno,476000,85400000,242000,"Jul 18, 2017",36
2025-10-13 03:31:34,C.I.C,https://audiomack.com/cralorboi_cic,196000,11100000,119000,"May 21, 2019",36
2025-10-13 03:34:13,MC CARO,https://audiomack.com/mccaro,199000,10500000,103000,"May 25, 2019",83
2025-10-13 03:39:12,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,87400,3070000,68000,"Jan 12, 2024",25
2025-10-13 03:41:09,Christoph The Change,https://audiomack.com/christoph-the-change,135000,5260000,48300,"Jun 16, 2020",52
2025-10-13 03:44:28,Brickson,https://audiomack.com/brickson_,65600,2610000,112000,"Feb 6, 2021",13
2025-10-13 03:45:45,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,95400,4130000,31500,"Mar 9, 2019",55
2025-10-13 03:49:14,Mr. Church,https://audiomack.com/mr-church1,30300,884000,6860,"Jan 13, 2021",24
2025-10-13 03:51:01,Natif,https://audiomack.com/natif,39100,1550000,59400,"Jul 2, 2023",29
2025-10-13 03:53:02,Lil More,https://audiomack.com/LilMore,89900,3120000,225000,"Apr 17, 2023",15
2025-10-13 03:54:17,Writerman Willy,https://audiomack.com/writerman_willy,12500,625000,32600,"Jul 28, 2019",16
2025-10-13 03:55:44,Kpanto,https://audiomack.com/kpanto_,86200,5420000,12100,"Feb 10, 2020",59
2025-10-13 03:59:28,Boifatty,https://audiomack.com/boifattyofficial,47900,1710000,40400,"Apr 29, 2019",36
2025-10-13 04:01:54,Bucky Raw,https://audiomack.com/buckyraw,56000,2170000,9910,"Jun 18, 2020",22
2025-10-13 04:03:34,KOBAZZIE,https://audiomack.com/kobazziee,85200,3260000,27600,"Aug 4, 2020",15
2025-10-13 04:04:56,J Slught,https://audiomack.com/jslughtofficial,107000,5370000,38400,"Aug 31, 2019",41
2025-10-13 04:07:36,J Rap,https://audiomack.com/j-rap-,47000,1030000,33900,"Jun 17, 2024",13
2025-10-13 04:08:49,Nuchie Meek,https://audiomack.com/nuchie-meek-,136000,7720000,78900,"Jan 21, 2020",33
2025-10-13 04:11:01,KELLz,https://audiomack.com/KELLz,10000,612000,19300,"Oct 27, 2023",7
2025-10-13 04:11:55,Fazari,https://audiomack.com/Fazari,82300,3670000,52800,"May 31, 2019",34
