timestamp,artist_name,url,profile_image,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-05-26 06:12:13,SIO,https://audiomack.com/vibeking-sio,https://i.audiomack.com/vibeking-sio/7ea34cbb44.webp?width=400,6608601,6608601,N/A,N/A,8
2026-05-26 06:12:56,Nahj,https://audiomack.com/nahj,https://i.audiomack.com/nahj_/b58976d0d8.webp?width=400,6107585,6107585,N/A,N/A,8
2026-05-26 06:13:37,Spize,https://audiomack.com/spizeofficial,https://i.audiomack.com/spizeofficial/776a14fabf.webp?width=400,3680506,3680506,N/A,N/A,7
2026-05-26 06:14:16,Will Flash,https://audiomack.com/will-flash,https://i.audiomack.com/will-flash/0868698ca9.webp?width=400,5862583,5862583,N/A,N/A,18
2026-05-26 06:15:35,STUNN,https://audiomack.com/stunn,https://i.audiomack.com/stunn/857fddfe80.webp?width=400,3876029,3876029,N/A,N/A,30
2026-05-26 06:17:28,Larry G,https://audiomack.com/elvissaywon226,https://i.audiomack.com/elvissaywon226/cd7ddf76fb.webp?width=400,3231552,3231552,N/A,N/A,4
2026-05-26 06:17:58,Fluxii,https://audiomack.com/fluxiimusic,https://i.audiomack.com/fluxiimusic/4fd9aa58b0.webp?width=400,3117090,3117090,N/A,N/A,11
2026-05-26 06:18:55,Teddyride,https://audiomack.com/teddyride,https://i.audiomack.com/teddyride/6d628ac3c3.webp?width=400,7492371,7492371,N/A,N/A,32
2026-05-26 06:20:57,Jaredo,https://audiomack.com/Jaredo,https://i.audiomack.com/Jaredo/5536a7636e.webp?width=400,3333791,3333791,N/A,N/A,12
2026-05-26 06:22:02,King Dennis,https://audiomack.com/troublecoming,https://i.audiomack.com/troublecoming/1c4d8d43b0.webp?width=400,12268586,12268586,N/A,N/A,54
2026-05-26 06:25:30,JZyNo,https://audiomack.com/jzyno,https://i.audiomack.com/jzyno/478087521f.webp?width=400,85431073,85431073,N/A,N/A,36
2026-05-26 06:27:50,C.I.C,https://audiomack.com/cralorboi_cic,https://i.audiomack.com/cralorboi_cic/451dbbdc56.webp?width=400,12963417,12963417,N/A,N/A,36
2026-05-26 06:30:21,MC CARO,https://audiomack.com/mccaro,https://i.audiomack.com/mccaro/88f778ad4b.webp?width=400,12862869,12862869,N/A,N/A,88
2026-05-26 06:35:38,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,https://i.audiomack.com/jboydeprophet-1/608c051971.webp?width=400,5001860,5001860,N/A,N/A,41
2026-05-26 06:38:21,Christoph The Change,https://audiomack.com/christoph-the-change,https://i.audiomack.com/christoph-the-change/1fb9825b01.webp?width=400,9668463,9668463,N/A,N/A,63
2026-05-26 06:42:08,Brickson,https://audiomack.com/brickson_,https://i.audiomack.com/brickson_/67e50df196.webp?width=400,5003162,5003162,N/A,N/A,15
2026-05-26 06:43:24,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,https://i.audiomack.com/barsee-mocopala-kiloda/58f33b03a1.webp?width=400,6866329,6866329,N/A,N/A,63
2026-05-26 06:47:15,Mr. Church,https://audiomack.com/mr-church1,https://i.audiomack.com/mr-church1/d012ddf240.webp?width=400,1325124,1325124,N/A,N/A,36
2026-05-26 06:49:35,Natif,https://audiomack.com/natif,https://i.audiomack.com/natif/5d21fd2848.webp?width=400,1984293,1984293,N/A,N/A,31
2026-05-26 06:51:34,Lil More,https://audiomack.com/LilMore,https://i.audiomack.com/LilMore/39c8cabf9d.webp?width=400,4415460,4415460,N/A,N/A,16
2026-05-26 06:52:44,Writerman Willy,https://audiomack.com/writerman_willy,https://i.audiomack.com/writerman_willy/e517c23d96.webp?width=400,779741,779741,N/A,N/A,18
2026-05-26 06:54:09,Kpanto,https://audiomack.com/kpanto_,https://i.audiomack.com/kpanto_/89c8e6a0fb.webp?width=400,5834028,5834028,N/A,N/A,59
2026-05-26 06:57:48,Boifatty,https://audiomack.com/boifattyofficial,https://i.audiomack.com/boifattyofficial/a71e6ba5cf.webp?width=400,2189827,2189827,N/A,N/A,43
2026-05-26 07:00:29,Bucky Raw,https://audiomack.com/buckyraw,https://i.audiomack.com/buckyraw-1/7561b00e22.webp?width=400,3892312,3892312,N/A,N/A,26
2026-05-26 07:02:13,KOBAZZIE,https://audiomack.com/kobazziee,https://i.audiomack.com/kobazziee/6d17a93a68.webp?width=400,3525067,3525067,N/A,N/A,16
2026-05-26 07:03:29,J Slught,https://audiomack.com/jslughtofficial,https://i.audiomack.com/jslughtofficial/d28f984be2.webp?width=400,6085686,6085686,N/A,N/A,36
2026-05-26 07:05:45,J Rap,https://audiomack.com/j-rap-,https://i.audiomack.com/jrappneckc/a27ed71b62.webp?width=400,2047838,2047838,N/A,N/A,14
2026-05-26 07:06:52,Nuchie Meek,https://audiomack.com/nuchie-meek-,https://i.audiomack.com/nuchie-meek-/8cec6330e5.webp?width=400,9071177,9071177,N/A,N/A,36
2026-05-26 07:09:06,KELLz,https://audiomack.com/KELLz,https://i.audiomack.com/KELLz_Lib/a6c781839a.webp?width=400,691413,691413,N/A,N/A,7
2026-05-26 07:09:50,Fazari,https://audiomack.com/Fazari,https://i.audiomack.com/Fazari/d28125e057.webp?width=400,5264535,5264535,N/A,N/A,39
